FID,OBJECTID,ID,Inentario_Movimiento,F35DOV_TIP,Tipo_Movimiento,Subtipo_Movimiento,Subtipo_nombre,Etiqueta,Representación_mapa,ESRI_OID,x,y
4193,-7.58397098088E+56,508,28572,69,Deslizamiento,82,Deslizamiento traslacional planar,Deslizamiento,dtp,622,-8465599.89820698,728277.208943703
4194,-7.58397098088E+56,509,28679,69,Deslizamiento,82,Deslizamiento traslacional planar,Deslizamiento,dtp,623,-8446459.13014485,732634.721393486
4195,-7.58397098088E+56,510,29783,69,Deslizamiento,82,Deslizamiento traslacional planar,Deslizamiento,dtp,624,-8196670.56162468,1165799.18792167
4196,-7.58397098088E+56,511,28614,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,625,-8460003.0015618,750255.014429564
4197,-7.58397098088E+56,512,28610,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,626,-8460435.91070503,752060.94723388
4198,-7.58397098088E+56,513,28608,69,Deslizamiento,82,Deslizamiento traslacional planar,Deslizamiento,dtp,627,-8461147.11857525,752714.834214742
4199,-7.58397098088E+56,515,28445,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,628,-8499706.95331518,485915.1132275
4200,-7.58397098088E+56,516,29792,69,Deslizamiento,82,Deslizamiento traslacional planar,Deslizamiento,dtp,629,-8180374.62515473,1169320.64985437
4201,-7.58397098088E+56,518,29781,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,630,-8181023.98881392,1169540.75298274
4202,-7.58397098088E+56,519,29780,71,Flujo,5,Flujo de detritos,Flujo,fd,631,-8180869.37839767,1169918.07569049
4203,-7.58397098089E+56,680,31502,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,751,-8149267.01183232,892839.235792312
