FID,OBJECTID,ID,Inentario_Movimiento,F35DOV_TIP,Tipo_Movimiento,Subtipo_Movimiento,Subtipo_nombre,Etiqueta,Representación_mapa,ESRI_OID,x,y
4386,-7.58397098088E+56,2758,29254,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,2247,-8380564.17606086,468922.314621648
4387,-7.58397098088E+56,2759,29300,67,Caida,15,Caida de roca,Caida,cr,2248,-8419556.91994402,448336.939802231
4388,-7.58397098088E+56,2760,29252,67,Caida,15,Caida de roca,Caida,cr,2249,-8387026.89088118,443129.339312875
4389,-7.58397098088E+56,2762,30619,71,Flujo,6,Flujo de lodo,Flujo,fl,2250,-8256648.7859213,464375.783760575
4390,-7.58397098088E+56,2754,29261,71,Flujo,17,Flujo de tierra,Flujo,ft,2244,-8388913.13787036,467496.064598964
4391,-7.58397098088E+56,2755,29258,71,Flujo,5,Flujo de detritos,Flujo,fd,2245,-8385511.70893553,467775.111673245
4392,-7.58397098088E+56,11433,26317,67,Caida,23,Caida de Tierras,Caida,ct,5913,-8436378.53187375,614690.804732031
4393,-7.58397098088E+56,2950,26420,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,2390,-8070663.08251233,814839.832573986
4394,-7.58397098088E+56,11761,26258,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,6131,-8289127.58319413,546690.274537593
4395,-7.58397098088E+56,2952,26205,72,Reptación,8,Reptacion de suelos,Reptación,lr,2391,-8177127.80663616,560409.343044129
4396,-7.58397098088E+56,2953,26211,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,2392,-8176540.28707668,559943.721720028
4397,-7.58397098088E+56,3357,26157,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,2563,-8541111.61942464,423882.348864437
4398,-7.58397098088E+56,3359,26244,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,2564,-8411888.24389922,563855.033282724
4399,-7.58397098088E+56,3360,26204,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,2565,-8224995.18767727,479650.950172122
4400,-7.58397098088E+56,3361,26126,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,2566,-8411888.24389922,563886.07630682
4401,-7.58397098088E+56,3362,26053,71,Flujo,5,Flujo de detritos,Flujo,fd,2567,-8223078.01869389,478131.495301831
4402,-7.58397098088E+56,3363,26207,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,2568,-8204772.14681271,467061.993135154
4403,-7.58397098088E+56,2764,30617,71,Flujo,6,Flujo de lodo,Flujo,fl,2251,-8255453.54854866,464825.592030324
4404,-7.58397098088E+56,2765,30598,72,Reptación,8,Reptacion de suelos,Reptación,lr,2252,-8282219.76351245,463978.548051913
4405,-7.58397098088E+56,2766,30594,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,2253,-8282476.35493872,464853.942306256
4406,-7.58397098088E+56,2768,30547,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,2254,-8290456.40395573,462772.342055516
4407,-7.58397098088E+56,11362,29425,72,Reptación,8,Reptacion de suelos,Reptación,lr,5858,-8282912.24499528,466038.833328696
4408,-7.58397098088E+56,2771,29417,71,Flujo,17,Flujo de tierra,Flujo,ft,2255,-8292312.55750168,444927.167852079
4409,-7.58397098088E+56,11407,26316,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,5888,-8581866.92187493,197747.457479604
4410,-7.58397098088E+56,2954,26419,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,2393,-8419464.15362748,685933.287055301
4411,-7.58397098088E+56,2955,29568,67,Caida,20,Caida de detritos,Caida,cd,2394,-8069735.42012616,663979.934988268
4412,-7.58397098088E+56,2957,29581,71,Flujo,5,Flujo de detritos,Flujo,fd,2395,-8106223.47535515,709139.25988863
4413,-7.58397098088E+56,2961,27784,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,2396,-8471877.08061686,450537.860422728
4414,-7.58397098088E+56,2962,27786,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,2397,-8478247.02923196,452335.835321165
4415,-7.58397098088E+56,2963,27421,67,Caida,15,Caida de roca,Caida,cr,2398,-8134764.55592368,859939.172878693
4416,-7.58397098088E+56,2964,27751,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,2399,-8477566.74346726,454877.861140797
4417,-7.58397098088E+56,2965,27474,67,Caida,15,Caida de roca,Caida,cr,2400,-8145123.45303309,843747.26351367
4418,-7.58397098088E+56,3180,26099,71,Flujo,5,Flujo de detritos,Flujo,fd,2500,-8397180.8348931,780116.310651016
4419,-7.58397098088E+56,3366,27983,67,Caida,15,Caida de roca,Caida,cr,2569,-8218037.71950268,472333.007534903
4420,-7.58397098088E+56,3368,26222,71,Flujo,16,Avalancha de detritos,Avalancha,ar,2570,-8348899.96528448,689789.945159749
4421,-7.58397098088E+56,3369,26034,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,2571,-8069302.51098293,838257.597963324
4422,-7.58397098088E+56,3370,27998,71,Flujo,5,Flujo de detritos,Flujo,fd,2572,-8355949.55044902,578813.060318096
4423,-7.58397098088E+56,3374,26237,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,2573,-8406291.34725405,576273.303997163
4424,-7.58397098088E+56,2773,30508,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,2256,-8291715.31607711,443482.628441936
4425,-7.58397098088E+56,2775,30493,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,2257,-8298584.06261753,431958.018254545
4426,-7.58397098088E+56,2777,27842,67,Caida,20,Caida de detritos,Caida,cd,2258,-8280716.7771736,444958.165229962
4427,-7.58397098088E+56,2779,28025,71,Flujo,12,Deslizamiento por flujo,Flujo,df,2259,-8370669.1102002,582731.662944026
4428,-7.58397098088E+56,2781,29275,71,Flujo,17,Flujo de tierra,Flujo,ft,2260,-8394200.81368304,449266.899717457
4429,-7.58397098089E+56,2783,31332,67,Caida,15,Caida de roca,Caida,cr,2261,-8035233.31685806,627123.389574906
4430,-7.58397098088E+56,2784,29504,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,2262,-8117942.94399396,629914.804228916
4431,-7.58397098088E+56,2967,27828,72,Reptación,8,Reptacion de suelos,Reptación,lr,2401,-8476020.6394161,452304.835425325
4432,-7.58397098088E+56,2969,27788,72,Reptación,8,Reptacion de suelos,Reptación,lr,2402,-8478123.34092123,452583.834648795
4433,-7.58397098088E+56,2971,27782,72,Reptación,8,Reptacion de suelos,Reptación,lr,2403,-8476144.32772683,453544.838582581
4434,-7.58397098088E+56,2973,27825,72,Reptación,8,Reptacion de suelos,Reptación,lr,2404,-8478308.87333167,452552.834667592
4435,-7.58397098088E+56,2975,27442,67,Caida,20,Caida de detritos,Caida,cd,2405,-8135104.6988617,847459.377977917
4436,-7.58397098088E+56,2977,27449,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,2406,-8137269.24446653,846585.913638028
4437,-7.58397098088E+56,2979,27472,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,2407,-8138289.67316924,846367.549963856
4438,-7.58397098088E+56,2980,27473,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,2408,-8141660.17999856,844589.482995275
4439,-7.58397098088E+56,2981,27429,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,2409,-8138908.11483424,857318.145977836
4440,-7.58397098088E+56,2983,27402,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,2410,-8131301.28288915,865181.659966062
4441,-7.58397098088E+56,3181,26098,71,Flujo,5,Flujo de detritos,Flujo,fd,2501,-8402390.94885057,782014.169384817
4442,-7.58397098088E+56,3183,26183,71,Flujo,5,Flujo de detritos,Flujo,fd,2502,-8114727.0475809,765109.046942533
4443,-7.58397098088E+56,3375,26203,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,2574,-8218037.71950268,475495.770423298
4444,-7.58397098088E+56,3382,26217,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,2581,-8551192.21780706,778939.152570709
4445,-7.58397098088E+56,3386,26011,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,2582,-8580537.27245104,164461.847046502
4446,-7.58397098088E+56,3387,27976,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,2583,-8244074.11152836,496211.68762791
4447,-7.58397098088E+56,3388,27993,71,Flujo,5,Flujo de detritos,Flujo,fd,2584,-8202514.83489133,464054.557330575
4448,-7.58397098088E+56,2785,29503,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,2263,-8118808.76228042,630163.388856983
4449,-7.58397098088E+56,2787,29502,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,2264,-8118561.38565895,629883.731315355
4450,-7.58397098088E+56,2788,29499,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,2265,-8118344.93103168,629510.856396107
4451,-7.58397098088E+56,2789,29486,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,2266,-8119303.51552336,631406.325869372
4452,-7.58397098088E+56,2790,29465,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,2267,-8108635.39769278,638336.13911469
4453,-7.58397098088E+56,2791,29456,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,2268,-8119056.13890189,630847.001253332
4454,-7.58397098088E+56,2792,29455,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,2269,-8119396.2818399,631468.473285468
4455,-7.58397098088E+56,2793,29485,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,2270,-8117973.86609947,632524.98962554
4456,-7.58397098088E+56,2794,29484,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,2271,-8116149.46332132,630194.461904691
4457,-7.58397098088E+56,2984,27428,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,2411,-8138135.06275299,857286.944232545
4458,-7.58397098088E+56,2986,27437,72,Reptación,8,Reptacion de suelos,Reptación,lr,2412,-8151895.38868591,870112.624439613
4459,-7.58397098088E+56,2988,29507,72,Reptación,8,Reptacion de suelos,Reptación,lr,2413,-8231952.65585184,526023.299900069
4460,-7.58397098088E+56,2990,27431,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,2414,-8152235.53162392,869987.783543928
4461,-7.58397098088E+56,2992,27432,72,Reptación,8,Reptacion de suelos,Reptación,lr,2415,-8151462.47954267,870081.414156545
4462,-7.58397098088E+56,2994,27749,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,2416,-8477535.82136174,454970.863412652
4463,-7.58397098088E+56,2995,27778,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,2417,-8476948.30180227,454257.84816397
4464,-7.58397098088E+56,2996,27420,67,Caida,15,Caida de roca,Caida,cr,2418,-8134517.17930221,862466.728310735
4465,-7.58397098088E+56,2998,27831,72,Reptación,8,Reptacion de suelos,Reptación,lr,2419,-8481277.39312326,432281.11489101
4466,-7.58397098088E+56,3200,27980,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,2503,-8234828.4093269,492427.858114339
4467,-7.58397098088E+56,3201,27979,72,Reptación,8,Reptacion de suelos,Reptación,lr,2504,-8232153.29075496,491241.671463875
4468,-7.58397098088E+56,3202,27977,72,Reptación,8,Reptacion de suelos,Reptación,lr,2505,-8242644.27289297,493936.076760275
4469,-7.58397098088E+56,3203,27997,71,Flujo,17,Flujo de tierra,Flujo,ft,2506,-8105535.35336621,655504.845302679
4470,-7.58397098088E+56,3207,26185,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,2507,-8164109.61056765,795577.49242575
4471,-7.58397098088E+56,3389,27992,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,2585,-8201092.41926222,464612.630408149
4472,-7.58397098088E+56,3390,27990,71,Flujo,5,Flujo de detritos,Flujo,fd,2586,-8203164.19866184,463062.436156441
4473,-7.58397098088E+56,3391,27975,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,2587,-8244537.94266579,496583.876934951
4474,-7.58397098088E+56,3392,26184,71,Flujo,5,Flujo de detritos,Flujo,fd,2588,-8174994.18302551,709388.167611487
4475,-7.58397098088E+56,3394,26008,71,Flujo,5,Flujo de detritos,Flujo,fd,2589,-8578372.72673488,165884.739783703
4476,-7.58397098088E+56,3395,26240,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,2590,-8402085.94424379,566276.42732772
4477,-7.58397098088E+56,2795,29483,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,2272,-8116118.54121581,627988.306369344
4478,-7.58397098088E+56,2796,29482,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,2273,-8113242.78774075,626124.008027628
4479,-7.58397098088E+56,2798,29481,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,2274,-8113150.02153553,626465.792012047
4480,-7.58397098088E+56,2799,29480,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,2275,-8112995.41111929,626527.934808307
4481,-7.58397098088E+56,2800,29479,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,2276,-8112964.48901377,626559.006116812
4482,-7.58397098088E+56,2801,29478,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,2277,-8117912.02188844,629386.565270272
4483,-7.58397098088E+56,2802,29477,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,2278,-8119365.35973438,631468.473285468
4484,-7.58397098088E+56,2803,29476,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,2279,-8116396.83994279,639361.69081855
4485,-7.58397098088E+56,3000,27835,72,Reptación,8,Reptacion de suelos,Reptación,lr,2420,-8482297.82182598,433396.874124657
