Month,Period,2020,
Jan,1,71.104,
Feb,2,54.7099,
Mar,3,51.7355,
Apr,4,219.0628,
May,5,282.0451,
Jun,6,303.721,
Jul,7,397.2214,
Aug,8,339.0275,
Sep,9,362.2724,
Oct,10,366.3869,
Nov,11,318.3152,
Dec,12,208.3836
